Data_Model,m,se
pseudor_llnull,-124.76649250079,0
pseudor_vanillaM_vanillaD,0.2102045756213316,0.02898633490498722
pseudor_vanillaM_emoBiasD,0.1547426038368749,0.019984061176899173
pseudor_vanillaM_condD,0.15179567821483836,0.015751422013403776
pseudor_vanillaM_condBetaD,0.16047158509472526,0.015735046707265995
pseudor_emoBiasM_vanillaD,0.1974370358156932,0.02667481516461379
pseudor_emoBiasM_emoBiasD,0.2347796722197437,0.022619713974435032
pseudor_emoBiasM_condD,0.16216423265212263,0.014967873561086765
pseudor_emoBiasM_condBetaD,0.1682283034634066,0.014711615067513827
pseudor_condM_vanillaD,0.21876375044071716,0.029240203337064608
pseudor_condM_emoBiasD,0.18687811547058877,0.020369698392537498
pseudor_condM_condD,0.26610575255833946,0.021360955867530316
pseudor_condM_condBetaD,0.27139620820424665,0.017926331787952846
pseudor_condBetaM_vanillaD,0.22072305905943806,0.028807388038050077
pseudor_condBetaM_emoBiasD,0.19581013736960076,0.019801348556356724
pseudor_condBetaM_condD,0.2532182380282673,0.019475268305465556
pseudor_condBetaM_condBetaD,0.27781596582081647,0.017940290593384717
